Simulation complete!
Total CCs: 13
RS Stalls: 0
ROB Stalls: 0
Data Cache
	Address	Value
Register Mapping
	X0 -> $ZERO = 0
	X1 -> $5 = 0
=========Physical Registers=========
	Register ,  Value
	0          -20  
	1          -16  
	2          -12  
	3          -8   
	4          -4   
	5          0    
	6          0    
	7          0    
	8          0    
	9          0    
	10         0    
	11         0    
	12         0    
	13         0    
	14         0    
	15         0    
	16         0    
	17         0    
	18         0    
	19         0    
	20         0    
	21         0    
	22         0    
	23         0    
	24         0    
	25         0    
	26         0    
	27         0    
	28         0    
	29         0    
	30         0    
	31         0    
